ID,DATE,WEEK,YEAR,WEEKNUM,TTL,TTL_TOTAL,TTL_BEFORE,GRP,GRP_OSAKA,GRP_TOKYO,GRP_NAGOYA,TTL2,GRP2
1,2013/7/2,3,2013,27,16690,16690,0,0,0,0,0,0,0
2,2013/7/3,4,2013,27,24463,41153,16690,0,0,0,0,20972.3,0.0
3,2013/7/4,5,2013,27,21764,62917,41153,0,0,0,0,23310.7,0.0
4,2013/7/5,6,2013,27,23705,86622,62917,0,0,0,0,25196.0,0.0
5,2013/7/6,7,2013,27,30119,116741,86622,0,0,0,0,23360.0,0.0
6,2013/7/7,1,2013,27,16256,132997,116741,0,0,0,0,20312.0,0.0
7,2013/7/8,2,2013,28,14561,147558,132997,0,0,0,0,13499.0,0.0
8,2013/7/9,3,2013,28,9680,157238,147558,0,0,0,0,11005.7,0.0
9,2013/7/10,4,2013,28,8776,166014,157238,0,0,0,0,7181.0,0.0
10,2013/7/11,5,2013,28,3087,169101,166014,0,0,0,0,4778.3,0.0
11,2013/7/12,6,2013,28,2472,171573,169101,0,0,0,0,2267.7,0.0
12,2013/7/13,7,2013,28,1244,172817,171573,0,0,0,0,1640.7,0.0
13,2013/7/14,1,2013,28,1206,174023,172817,0,0,0,0,1223.3,0.0
14,2013/7/15,2,2013,29,1220,175243,174023,0,0,0,0,2714.7,0.0
15,2013/7/16,3,2013,29,5718,180961,175243,0,0,0,0,5354.0,0.0
16,2013/7/17,4,2013,29,9124,190085,180961,0,0,0,0,8599.3,0.0
17,2013/7/18,5,2013,29,10956,201041,190085,0,0,0,0,10604.3,0.0
18,2013/7/19,6,2013,29,11733,212774,201041,0,0,0,0,11327.0,0.0
19,2013/7/20,7,2013,29,11292,224066,212774,0,0,0,0,11567.3,0.0
20,2013/7/21,1,2013,29,11677,235743,224066,0,0,0,0,10984.0,0.0
21,2013/7/22,2,2013,30,9983,245726,235743,0,0,0,0,11009.3,0.0
22,2013/7/23,3,2013,30,11368,257094,245726,0,0,0,0,10888.7,0.0
23,2013/7/24,4,2013,30,11315,268409,257094,0,0,0,0,11392.0,0.0
24,2013/7/25,5,2013,30,11493,279902,268409,0,0,0,0,10588.3,0.0
25,2013/7/26,6,2013,30,8957,288859,279902,0,0,0,0,9786.0,0.0
26,2013/7/27,7,2013,30,8908,297767,288859,0,0,0,0,9349.0,0.0
27,2013/7/28,1,2013,30,10182,307949,297767,0,0,0,0,9559.3,0.0
28,2013/7/29,2,2013,31,9588,317537,307949,0,0,0,0,9469.0,0.0
29,2013/7/30,3,2013,31,8637,326174,317537,0,0,0,0,8778.0,0.0
30,2013/7/31,4,2013,31,8109,334283,326174,0,0,0,0,7657.7,0.0
31,2013/8/1,5,2013,31,6227,340510,334283,0,0,0,0,6626.7,0.0
32,2013/8/2,6,2013,31,5544,346054,340510,0,0,0,0,6100.3,0.0
33,2013/8/3,7,2013,31,6530,352584,346054,0,0,0,0,6200.3,0.0
34,2013/8/4,1,2013,31,6527,359111,352584,0,0,0,0,6303.0,0.0
35,2013/8/5,2,2013,32,5852,364963,359111,0,0,0,0,6191.3,0.0
36,2013/8/6,3,2013,32,6195,371158,364963,0,0,0,0,25776.7,0.0
37,2013/8/7,4,2013,32,65283,436441,371158,0,0,0,0,40234.0,0.0
38,2013/8/8,5,2013,32,49224,485665,436441,0,0,0,0,45005.7,0.0
39,2013/8/9,6,2013,32,20510,506175,485665,0,0,0,0,26065.0,0.0
40,2013/8/10,7,2013,32,8461,514636,506175,0,0,0,0,11761.3,0.0
41,2013/8/11,1,2013,32,6313,520949,514636,0,0,0,0,6590.0,0.0
42,2013/8/12,2,2013,33,4996,525945,520949,0,0,0,0,5321.0,0.0
43,2013/8/13,3,2013,33,4654,530599,525945,0,0,0,0,4821.0,0.0
44,2013/8/14,4,2013,33,4813,535412,530599,0,0,0,0,4752.3,0.0
45,2013/8/15,5,2013,33,4790,540202,535412,0,0,0,0,4564.3,0.0
46,2013/8/16,6,2013,33,4090,544292,540202,0,0,0,0,4249.0,0.0
47,2013/8/17,7,2013,33,3867,548159,544292,0,0,0,0,3936.0,0.0
48,2013/8/18,1,2013,33,3851,552010,548159,0,0,0,0,3864.3,0.0
49,2013/8/19,2,2013,34,3875,555885,552010,0,0,0,0,3930.0,0.0
50,2013/8/20,3,2013,34,4064,559949,555885,0,0,0,0,3909.0,0.0
51,2013/8/21,4,2013,34,3788,563737,559949,0,0,0,0,3716.0,0.0
52,2013/8/22,5,2013,34,3296,567033,563737,0,0,0,0,14014.3,0.0
53,2013/8/23,6,2013,34,34959,601992,567033,0,0,0,0,22661.3,0.0
54,2013/8/24,7,2013,34,29729,631721,601992,0,0,0,0,31355.0,0.0
55,2013/8/25,1,2013,34,29377,661098,631721,0,0,0,0,23497.7,0.0
56,2013/8/26,2,2013,35,11387,672485,661098,0,0,0,0,16154.3,0.0
57,2013/8/27,3,2013,35,7699,680184,672485,0,0,0,0,8124.7,0.0
58,2013/8/28,4,2013,35,5288,685472,680184,0,0,0,0,5745.0,0.0
59,2013/8/29,5,2013,35,4248,689720,685472,0,0,0,0,4243.0,0.0
60,2013/8/30,6,2013,35,3193,692913,689720,0,0,0,0,3354.0,0.0
61,2013/8/31,7,2013,35,2621,695534,692913,0,0,0,0,2762.3,0.0
62,2013/9/1,1,2013,35,2473,698007,695534,0,0,0,0,2462.3,0.0
63,2013/9/2,2,2013,36,2293,700300,698007,0,0,0,0,2319.0,0.0
64,2013/9/3,3,2013,36,2191,702491,700300,0,0,0,0,2291.0,0.0
65,2013/9/4,4,2013,36,2389,704880,702491,0,0,0,0,2549.3,0.0
66,2013/9/5,5,2013,36,3068,707948,704880,0,0,0,0,2830.3,0.0
67,2013/9/6,6,2013,36,3034,710982,707948,0,0,0,0,3088.3,0.0
68,2013/9/7,7,2013,36,3163,714145,710982,0,0,0,0,2988.3,0.0
69,2013/9/8,1,2013,36,2768,716913,714145,0,0,0,0,2738.0,0.0
70,2013/9/9,2,2013,37,2283,719196,716913,0,0,0,0,2457.3,0.0
71,2013/9/10,3,2013,37,2321,721517,719196,0,0,0,0,2298.0,0.0
72,2013/9/11,4,2013,37,2290,723807,721517,0,0,0,0,2307.0,0.0
73,2013/9/12,5,2013,37,2310,726117,723807,0,0,0,0,2214.7,0.0
74,2013/9/13,6,2013,37,2044,728161,726117,0,0,0,0,2173.0,0.0
75,2013/9/14,7,2013,37,2165,730326,728161,0,0,0,0,2163.0,0.0
76,2013/9/15,1,2013,37,2280,732606,730326,0,0,0,0,2301.3,0.0
77,2013/9/16,2,2013,38,2459,735065,732606,0,0,0,0,2200.0,0.0
78,2013/9/17,3,2013,38,1861,736926,735065,0,0,0,0,2103.0,0.0
79,2013/9/18,4,2013,38,1989,738915,736926,0,0,0,0,1844.0,0.0
80,2013/9/19,5,2013,38,1682,740597,738915,0,0,0,0,1779.3,0.0
81,2013/9/20,6,2013,38,1667,742264,740597,0,0,0,0,1739.0,0.0
82,2013/9/21,7,2013,38,1868,744132,742264,0,0,0,0,1915.3,0.0
