ID,Date,WEEK,Country,Unified App,TTL,GRP,GRPT,GRPO,GRPN
400,2016/9/5,1,Japan,C Channel,5594,0,0,0,0
401,2016/9/6,2,Japan,C Channel,5414,0,0,0,0
402,2016/9/7,3,Japan,C Channel,5415,0,0,0,0
403,2016/9/8,4,Japan,C Channel,4457,0,0,0,0
404,2016/9/9,5,Japan,C Channel,3914,0,0,0,0
405,2016/9/10,6,Japan,C Channel,4320,0,0,0,0
406,2016/9/11,7,Japan,C Channel,3208,0,0,0,0
407,2016/9/12,1,Japan,C Channel,2507,0,0,0,0
408,2016/9/13,2,Japan,C Channel,2600,0,0,0,0
409,2016/9/14,3,Japan,C Channel,3120,0,0,0,0
410,2016/9/15,4,Japan,C Channel,2999,0,0,0,0
411,2016/9/16,5,Japan,C Channel,2884,0,0,0,0
412,2016/9/17,6,Japan,C Channel,3410,0,0,0,0
413,2016/9/18,7,Japan,C Channel,3255,0,0,0,0
414,2016/9/19,1,Japan,C Channel,3299,0,0,0,0
415,2016/9/20,2,Japan,C Channel,2682,0,0,0,0
416,2016/9/21,3,Japan,C Channel,2368,0,0,0,0
417,2016/9/22,4,Japan,C Channel,3115,0,0,0,0
418,2016/9/23,5,Japan,C Channel,3297,0,0,0,0
419,2016/9/24,6,Japan,C Channel,2939,0,0,0,0
420,2016/9/25,7,Japan,C Channel,3609,0,0,0,0
421,2016/9/26,1,Japan,C Channel,2853,0,0,0,0
422,2016/9/27,2,Japan,C Channel,2410,0,0,0,0
423,2016/9/28,3,Japan,C Channel,2328,0,0,0,0
424,2016/9/29,4,Japan,C Channel,2565,0,0,0,0
425,2016/9/30,5,Japan,C Channel,2769,0,0,0,0
426,2016/10/1,6,Japan,C Channel,3603,0,0,0,0
427,2016/10/2,7,Japan,C Channel,3949,0,0,0,0
428,2016/10/3,1,Japan,C Channel,2906,0,0,0,0
429,2016/10/4,2,Japan,C Channel,2383,0,0,0,0
430,2016/10/5,3,Japan,C Channel,2721,0,0,0,0
431,2016/10/6,4,Japan,C Channel,2521,0,0,0,0
432,2016/10/7,5,Japan,C Channel,2374,0,0,0,0
433,2016/10/8,6,Japan,C Channel,4316,0,0,0,0
434,2016/10/9,7,Japan,C Channel,3664,0,0,0,0
435,2016/10/10,1,Japan,C Channel,3009,0,0,0,0
436,2016/10/11,2,Japan,C Channel,2379,0,0,0,0
437,2016/10/12,3,Japan,C Channel,2028,0,0,0,0
438,2016/10/13,4,Japan,C Channel,2312,0,0,0,0
439,2016/10/14,5,Japan,C Channel,2428,0,0,0,0
440,2016/10/15,6,Japan,C Channel,3065,0,0,0,0
441,2016/10/16,7,Japan,C Channel,2670,0,0,0,0
442,2016/10/17,1,Japan,C Channel,7242,88,87.6,57,71.9
443,2016/10/18,2,Japan,C Channel,17791,103,103.1,49.5,52.3
444,2016/10/19,3,Japan,C Channel,17979,117,117.3,57.5,71.5
445,2016/10/20,4,Japan,C Channel,21400,64,64.4,68.1,83.2
446,2016/10/21,5,Japan,C Channel,23450,81,80.9,46.1,30.3
447,2016/10/22,6,Japan,C Channel,30947,114,114.4,82.9,61.4
448,2016/10/23,7,Japan,C Channel,25439,105,104.6,88.4,76
449,2016/10/24,1,Japan,C Channel,20360,107,106.5,0,0
450,2016/10/25,2,Japan,C Channel,21058,98,98.3,0,0
451,2016/10/26,3,Japan,C Channel,22368,68,67.6,0,0
452,2016/10/27,4,Japan,C Channel,19441,83,82.9,0,0
453,2016/10/28,5,Japan,C Channel,18936,82,81.5,0,0
454,2016/10/29,6,Japan,C Channel,15887,102,101.8,0,0
455,2016/10/30,7,Japan,C Channel,13801,71,70.7,0,0
456,2016/10/31,1,Japan,C Channel,9485,0,0,0,0
457,2016/11/1,2,Japan,C Channel,9321,0,0,0,0
458,2016/11/2,3,Japan,C Channel,9668,0,0,0,0
459,2016/11/3,4,Japan,C Channel,9201,0,0,0,0
460,2016/11/4,5,Japan,C Channel,10129,0,0,0,0
461,2016/11/5,6,Japan,C Channel,8828,0,0,0,0
462,2016/11/6,7,Japan,C Channel,7722,0,0,0,0
463,2016/11/7,1,Japan,C Channel,5670,0,0,0,0
464,2016/11/8,2,Japan,C Channel,5632,0,0,0,0
465,2016/11/9,3,Japan,C Channel,5664,0,0,0,0
466,2016/11/10,4,Japan,C Channel,5160,0,0,0,0
467,2016/11/11,5,Japan,C Channel,4694,0,0,0,0
468,2016/11/12,6,Japan,C Channel,7428,0,0,0,0
469,2016/11/13,7,Japan,C Channel,8501,0,0,0,0
