ID,Date,WEEK,Country,Unified App,TTL,TTL_TOTAL,TTL_BEFORE,GRP,TTL2,GRP2
1,2015/8/3,1,Japan,C Channel,0,0,0,0,0.0,0.0
2,2015/8/4,2,Japan,C Channel,0,0,0,0,7.0,0.0
3,2015/8/5,3,Japan,C Channel,21,21,0,0,13.7,0.0
4,2015/8/6,4,Japan,C Channel,20,41,21,0,20.3,0.0
5,2015/8/7,5,Japan,C Channel,20,61,41,0,13.3,0.0
6,2015/8/8,6,Japan,C Channel,0,61,61,0,6.7,0.0
7,2015/8/9,7,Japan,C Channel,0,61,61,0,5.7,0.0
8,2015/8/10,1,Japan,C Channel,17,78,61,0,5.7,0.0
9,2015/8/11,2,Japan,C Channel,0,78,78,0,5.7,0.0
10,2015/8/12,3,Japan,C Channel,0,78,78,0,0.0,0.0
11,2015/8/13,4,Japan,C Channel,0,78,78,0,39.7,0.0
12,2015/8/14,5,Japan,C Channel,119,197,78,0,67.3,0.0
13,2015/8/15,6,Japan,C Channel,83,280,197,0,81.3,0.0
14,2015/8/16,7,Japan,C Channel,42,322,280,0,51.7,0.0
15,2015/8/17,1,Japan,C Channel,30,352,322,0,36.0,0.0
16,2015/8/18,2,Japan,C Channel,36,388,352,0,35.0,0.0
17,2015/8/19,3,Japan,C Channel,39,427,388,0,52.3,0.0
18,2015/8/20,4,Japan,C Channel,82,509,427,0,65.0,0.0
19,2015/8/21,5,Japan,C Channel,74,583,509,0,73.0,0.0
20,2015/8/22,6,Japan,C Channel,63,646,583,0,64.7,0.0
21,2015/8/23,7,Japan,C Channel,57,703,646,0,59.0,0.0
22,2015/8/24,1,Japan,C Channel,57,760,703,0,54.7,0.0
23,2015/8/25,2,Japan,C Channel,50,810,760,0,49.7,0.0
24,2015/8/26,3,Japan,C Channel,42,852,810,0,45.3,0.0
25,2015/8/27,4,Japan,C Channel,44,896,852,0,38.3,0.0
26,2015/8/28,5,Japan,C Channel,29,925,896,0,48.0,0.0
27,2015/8/29,6,Japan,C Channel,71,996,925,0,52.3,0.0
28,2015/8/30,7,Japan,C Channel,57,1053,996,0,53.3,0.0
29,2015/8/31,1,Japan,C Channel,32,1085,1053,0,50.3,0.0
30,2015/9/1,2,Japan,C Channel,62,1147,1085,0,58.3,0.0
31,2015/9/2,3,Japan,C Channel,81,1228,1147,0,97.7,0.0
