ID,Country,Date,Unified App,TTL,TTL_TOTAL,TTL_BEFORE,GRP,TTL2,GRP2
1,Japan,2016/12/3,DELISH KITCHEN,0,0,0,0,0,0
2,Japan,2016/12/4,DELISH KITCHEN,1185,1185,0,0,838.3,0.0
3,Japan,2016/12/5,DELISH KITCHEN,1330,2515,1185,0,1254.3,0.0
4,Japan,2016/12/6,DELISH KITCHEN,1248,3763,2515,0,1277.0,0.0
5,Japan,2016/12/7,DELISH KITCHEN,1253,5016,3763,0,1270.0,0.0
6,Japan,2016/12/8,DELISH KITCHEN,1309,6325,5016,0,1296.7,0.0
7,Japan,2016/12/9,DELISH KITCHEN,1328,7653,6325,0,1274.3,0.0
8,Japan,2016/12/10,DELISH KITCHEN,1186,8839,7653,0,1222.7,0.0
9,Japan,2016/12/11,DELISH KITCHEN,1154,9993,8839,0,1174.3,0.0
10,Japan,2016/12/12,DELISH KITCHEN,1183,11176,9993,0,1253.3,0.0
11,Japan,2016/12/13,DELISH KITCHEN,1423,12599,11176,0,1409.3,0.0
12,Japan,2016/12/14,DELISH KITCHEN,1622,14221,12599,0,1736.7,0.0
13,Japan,2016/12/15,DELISH KITCHEN,2165,16386,14221,0,2323.7,0.0
14,Japan,2016/12/16,DELISH KITCHEN,3184,19570,16386,0,3062.0,0.0
15,Japan,2016/12/17,DELISH KITCHEN,3837,23407,19570,0,3741.3,0.0
16,Japan,2016/12/18,DELISH KITCHEN,4203,27610,23407,0,3949.0,0.0
17,Japan,2016/12/19,DELISH KITCHEN,3807,31417,27610,0,5473.0,0.0
18,Japan,2016/12/20,DELISH KITCHEN,8409,39826,31417,0,7839.7,0.0
19,Japan,2016/12/21,DELISH KITCHEN,11303,51129,39826,0,11522.7,0.0
20,Japan,2016/12/22,DELISH KITCHEN,14856,65985,51129,0,16113.7,0.0
21,Japan,2016/12/23,DELISH KITCHEN,22182,88167,65985,0,16864.3,0.0
22,Japan,2016/12/24,DELISH KITCHEN,13555,101722,88167,0,16054.0,0.0
23,Japan,2016/12/25,DELISH KITCHEN,12425,114147,101722,0,13995.3,0.0
24,Japan,2016/12/26,DELISH KITCHEN,16006,130153,114147,0,15536.7,0.0
25,Japan,2016/12/27,DELISH KITCHEN,18179,148332,130153,0,17441.7,0.0
26,Japan,2016/12/28,DELISH KITCHEN,18140,166472,148332,0,17511.0,0.0
27,Japan,2016/12/29,DELISH KITCHEN,16214,182686,166472,0,16744.7,0.0
