Country,Date,WEEK,Unified App,iPhone,iPad,Google Play,TTL,TTL TOTAL,GRPT,GRPO,GRPN
Japan,2016/11/1,2,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/2,3,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/3,4,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/4,5,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/5,6,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/6,7,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/7,1,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/8,2,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/9,3,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/10,4,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/11,5,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/12,6,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/13,7,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/14,1,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/15,2,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/16,3,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/17,4,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/18,5,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/19,6,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/20,7,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/21,1,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/22,2,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/23,3,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/24,4,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/25,5,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/26,6,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/27,7,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/28,1,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/29,2,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/11/30,3,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/12/1,4,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/12/2,5,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/12/3,6,DELISH KITCHEN,,,,0,0,0,0,0
Japan,2016/12/4,7,DELISH KITCHEN,1185,,,1185,1185,0,0,0
Japan,2016/12/5,1,DELISH KITCHEN,1330,,,1330,2515,0,0,0
Japan,2016/12/6,2,DELISH KITCHEN,1248,,,1248,3763,0,0,0
Japan,2016/12/7,3,DELISH KITCHEN,1253,,,1253,5016,0,0,0
Japan,2016/12/8,4,DELISH KITCHEN,1309,,,1309,6325,0,0,0
Japan,2016/12/9,5,DELISH KITCHEN,1328,,,1328,7653,0,0,0
Japan,2016/12/10,6,DELISH KITCHEN,1186,,,1186,8839,0,0,0
