ID,DATE,WEEK,YEAR,WEEKNUM,Unified_App,TTL,GRP2,TTL_TOTAL,TTL_BEFORE,TTL2,GRP
1,2015/11/30,1,2015,49,KURASHIRU,0,0,0,0,0,0
2,2015/12/1,2,2015,49,KURASHIRU,120,0,120,0,70.3,0.0
3,2015/12/2,3,2015,49,KURASHIRU,91,0,211,120,92.3,0.0
4,2015/12/3,4,2015,49,KURASHIRU,66,0,277,211,74.0,0.0
5,2015/12/4,5,2015,49,KURASHIRU,65,0,342,277,61.7,0.0
6,2015/12/5,6,2015,49,KURASHIRU,54,0,396,342,51.7,0.0
7,2015/12/6,7,2015,49,KURASHIRU,36,0,432,396,38.7,0.0
8,2015/12/7,1,2015,50,KURASHIRU,26,0,458,432,26.0,0.0
9,2015/12/8,2,2015,50,KURASHIRU,16,0,474,458,20.0,0.0
10,2015/12/9,3,2015,50,KURASHIRU,18,0,492,474,18.7,0.0
11,2015/12/10,4,2015,50,KURASHIRU,22,0,514,492,22.3,0.0
12,2015/12/11,5,2015,50,KURASHIRU,27,0,541,514,22.7,0.0
13,2015/12/12,6,2015,50,KURASHIRU,19,0,560,541,24.0,0.0
14,2015/12/13,7,2015,50,KURASHIRU,26,0,586,560,22.0,0.0
15,2015/12/14,1,2015,51,KURASHIRU,21,0,607,586,25.0,0.0
16,2015/12/15,2,2015,51,KURASHIRU,28,0,635,607,23.7,0.0
17,2015/12/16,3,2015,51,KURASHIRU,22,0,657,635,25.3,0.0
18,2015/12/17,4,2015,51,KURASHIRU,26,0,683,657,22.0,0.0
19,2015/12/18,5,2015,51,KURASHIRU,18,0,701,683,19.7,0.0
20,2015/12/19,6,2015,51,KURASHIRU,15,0,716,701,17.3,0.0
21,2015/12/20,7,2015,51,KURASHIRU,19,0,735,716,19.3,0.0
22,2015/12/21,1,2015,52,KURASHIRU,24,0,759,735,21.3,0.0
23,2015/12/22,2,2015,52,KURASHIRU,21,0,780,759,24.0,0.0
24,2015/12/23,3,2015,52,KURASHIRU,27,0,807,780,22.3,0.0
25,2015/12/24,4,2015,52,KURASHIRU,19,0,826,807,21.7,0.0
26,2015/12/25,5,2015,52,KURASHIRU,19,0,845,826,20.0,0.0
27,2015/12/26,6,2015,52,KURASHIRU,22,0,867,845,19.0,0.0
28,2015/12/27,7,2015,52,KURASHIRU,16,0,883,867,19.0,0.0
29,2015/12/28,1,2015,53,KURASHIRU,19,0,902,883,15.7,0.0
30,2015/12/29,2,2015,53,KURASHIRU,12,0,914,902,17.7,0.0
31,2015/12/30,3,2015,53,KURASHIRU,22,0,936,914,21.0,0.0
32,2015/12/31,4,2015,53,KURASHIRU,29,0,965,936,29.7,0.0
33,2016/1/1,5,2016,1,KURASHIRU,38,0,1003,965,29.0,0.0
34,2016/1/2,6,2016,1,KURASHIRU,20,0,1023,1003,33.3,0.0
35,2016/1/3,7,2016,1,KURASHIRU,42,0,1065,1023,32.7,0.0
36,2016/1/4,1,2016,2,KURASHIRU,36,0,1101,1065,36.3,0.0
37,2016/1/5,2,2016,2,KURASHIRU,31,0,1132,1101,30.3,0.0
38,2016/1/6,3,2016,2,KURASHIRU,24,0,1156,1132,26.3,0.0
39,2016/1/7,4,2016,2,KURASHIRU,24,0,1180,1156,23.7,0.0
40,2016/1/8,5,2016,2,KURASHIRU,23,0,1203,1180,25.3,0.0
41,2016/1/9,6,2016,2,KURASHIRU,29,0,1232,1203,24.0,0.0
42,2016/1/10,7,2016,2,KURASHIRU,20,0,1252,1232,23.3,0.0
43,2016/1/11,1,2016,3,KURASHIRU,21,0,1273,1252,24.7,0.0
44,2016/1/12,2,2016,3,KURASHIRU,33,0,1306,1273,38.7,0.0
45,2016/1/13,3,2016,3,KURASHIRU,62,0,1368,1306,43.0,0.0
46,2016/1/14,4,2016,3,KURASHIRU,34,0,1402,1368,41.0,0.0
47,2016/1/15,5,2016,3,KURASHIRU,27,0,1429,1402,31.7,0.0
48,2016/1/16,6,2016,3,KURASHIRU,34,0,1463,1429,58.0,0.0
49,2016/1/17,7,2016,3,KURASHIRU,113,0,1576,1463,80.3,0.0
50,2016/1/18,1,2016,4,KURASHIRU,94,0,1670,1576,92.0,0.0
51,2016/1/19,2,2016,4,KURASHIRU,69,0,1739,1670,78.3,0.0
52,2016/1/20,3,2016,4,KURASHIRU,72,0,1811,1739,68.7,0.0
53,2016/1/21,4,2016,4,KURASHIRU,65,0,1876,1811,69.0,0.0
54,2016/1/22,5,2016,4,KURASHIRU,70,0,1946,1876,112.7,0.0
55,2016/1/23,6,2016,4,KURASHIRU,203,0,2149,1946,169.7,0.0
56,2016/1/24,7,2016,4,KURASHIRU,236,0,2385,2149,196.7,0.0
57,2016/1/25,1,2016,5,KURASHIRU,151,0,2536,2385,173.3,0.0
58,2016/1/26,2,2016,5,KURASHIRU,133,0,2669,2536,126.0,0.0
59,2016/1/27,3,2016,5,KURASHIRU,94,0,2763,2669,103.7,0.0
60,2016/1/28,4,2016,5,KURASHIRU,84,0,2847,2763,94.3,0.0
61,2016/1/29,5,2016,5,KURASHIRU,105,0,2952,2847,98.7,0.0
62,2016/1/30,6,2016,5,KURASHIRU,107,0,3059,2952,106.0,0.0
63,2016/1/31,7,2016,5,KURASHIRU,106,0,3165,3059,96.0,0.0
64,2016/2/1,1,2016,6,KURASHIRU,75,0,3240,3165,81.3,0.0
65,2016/2/2,2,2016,6,KURASHIRU,63,0,3303,3240,74.3,0.0
66,2016/2/3,3,2016,6,KURASHIRU,85,0,3388,3303,95.7,0.0
67,2016/2/4,4,2016,6,KURASHIRU,139,0,3527,3388,101.7,0.0
68,2016/2/5,5,2016,6,KURASHIRU,81,0,3608,3527,91.7,0.0
69,2016/2/6,6,2016,6,KURASHIRU,55,0,3663,3608,64.0,0.0
70,2016/2/7,7,2016,6,KURASHIRU,56,0,3719,3663,50.3,0.0
71,2016/2/8,1,2016,7,KURASHIRU,40,0,3759,3719,47.3,0.0
72,2016/2/9,2,2016,7,KURASHIRU,46,0,3805,3759,46.3,0.0
73,2016/2/10,3,2016,7,KURASHIRU,53,0,3858,3805,52.7,0.0
74,2016/2/11,4,2016,7,KURASHIRU,59,0,3917,3858,59.3,0.0
75,2016/2/12,5,2016,7,KURASHIRU,66,0,3983,3917,62.0,0.0
76,2016/2/13,6,2016,7,KURASHIRU,61,0,4044,3983,70.7,0.0
77,2016/2/14,7,2016,7,KURASHIRU,85,0,4129,4044,65.7,0.0
78,2016/2/15,1,2016,8,KURASHIRU,51,0,4180,4129,60.0,0.0
79,2016/2/16,2,2016,8,KURASHIRU,44,0,4224,4180,50.3,0.0
80,2016/2/17,3,2016,8,KURASHIRU,56,0,4280,4224,47.3,0.0
81,2016/2/18,4,2016,8,KURASHIRU,42,0,4322,4280,47.7,0.0
82,2016/2/19,5,2016,8,KURASHIRU,45,0,4367,4322,43.7,0.0
83,2016/2/20,6,2016,8,KURASHIRU,44,0,4411,4367,41.0,0.0
84,2016/2/21,7,2016,8,KURASHIRU,34,0,4445,4411,37.0,0.0
85,2016/2/22,1,2016,9,KURASHIRU,33,0,4478,4445,30.3,0.0
86,2016/2/23,2,2016,9,KURASHIRU,24,0,4502,4478,31.7,0.0
87,2016/2/24,3,2016,9,KURASHIRU,38,0,4540,4502,29.0,0.0
88,2016/2/25,4,2016,9,KURASHIRU,25,0,4565,4540,46.0,0.0
89,2016/2/26,5,2016,9,KURASHIRU,75,0,4640,4565,60.0,0.0
90,2016/2/27,6,2016,9,KURASHIRU,80,0,4720,4640,72.0,0.0
91,2016/2/28,7,2016,9,KURASHIRU,61,0,4781,4720,59.0,0.0
92,2016/2/29,1,2016,10,KURASHIRU,36,0,4817,4781,45.3,0.0
93,2016/3/1,2,2016,10,KURASHIRU,39,0,4856,4817,37.0,0.0
94,2016/3/2,3,2016,10,KURASHIRU,36,0,4892,4856,34.0,0.0
95,2016/3/3,4,2016,10,KURASHIRU,27,0,4919,4892,50.0,0.0
96,2016/3/4,5,2016,10,KURASHIRU,87,0,5006,4919,54.3,0.0
97,2016/3/5,6,2016,10,KURASHIRU,49,0,5055,5006,62.0,0.0
98,2016/3/6,7,2016,10,KURASHIRU,50,0,5105,5055,47.3,0.0
99,2016/3/7,1,2016,11,KURASHIRU,43,0,5148,5105,46.0,0.0
100,2016/3/8,2,2016,11,KURASHIRU,45,0,5193,5148,37.3,0.0
101,2016/3/9,3,2016,11,KURASHIRU,24,0,5217,5193,270.0,0.0
102,2016/3/10,4,2016,11,KURASHIRU,741,0,5958,5217,385.7,0.0
103,2016/3/11,5,2016,11,KURASHIRU,392,0,6350,5958,421.3,0.0
104,2016/3/12,6,2016,11,KURASHIRU,131,0,6481,6350,213.0,0.0
105,2016/3/13,7,2016,11,KURASHIRU,116,0,6597,6481,108.3,0.0
106,2016/3/14,1,2016,12,KURASHIRU,78,0,6675,6597,83.0,0.0
107,2016/3/15,2,2016,12,KURASHIRU,55,0,6730,6675,88.0,0.0
108,2016/3/16,3,2016,12,KURASHIRU,131,0,6861,6730,116.7,0.0
109,2016/3/17,4,2016,12,KURASHIRU,164,0,7025,6861,177.3,0.0
110,2016/3/18,5,2016,12,KURASHIRU,237,0,7262,7025,207.0,0.0
